,Date,HourlyPrice
0,2020-11-01,13770.78
1,2020-11-01,13721.73
2,2020-11-01,13814.05
3,2020-11-01,13824.9
4,2020-11-01,13792.21
5,2020-11-01,13805.14
6,2020-11-01,13816.34
7,2020-11-01,13810.43
8,2020-11-01,13803.36
9,2020-11-01,13794.04
10,2020-11-01,13733.41
11,2020-11-01,13803.41
12,2020-11-01,13804.51
13,2020-11-01,13772.28
14,2020-11-01,13875.3
15,2020-11-01,13683.91
16,2020-11-01,13705.51
17,2020-11-01,13728.62
18,2020-11-01,13802.37
19,2020-11-01,13700.1
20,2020-11-01,13693.97
21,2020-11-01,13735.58
22,2020-11-01,13707.31
23,2020-11-01,13758.55
24,2020-11-02,13415.88
25,2020-11-02,13622.44
26,2020-11-02,13670.11
27,2020-11-02,13562.6
28,2020-11-02,13465.49
29,2020-11-02,13517.34
30,2020-11-02,13505.93
31,2020-11-02,13478.09
32,2020-11-02,13402.08
33,2020-11-02,13309.68
34,2020-11-02,13495.77
35,2020-11-02,13519.3
36,2020-11-02,13462.21
37,2020-11-02,13761.72
38,2020-11-02,13811.55
39,2020-11-02,13762.1
40,2020-11-02,13730.97
41,2020-11-02,13708.68
42,2020-11-02,13580.31
43,2020-11-02,13704.63
44,2020-11-02,13697.49
45,2020-11-02,13736.74
46,2020-11-02,13743.47
47,2020-11-02,13701.41
48,2020-11-03,13535.43
49,2020-11-03,13738.79
50,2020-11-03,13739.41
51,2020-11-03,13753.25
52,2020-11-03,13747.95
53,2020-11-03,13731.74
54,2020-11-03,13716.19
55,2020-11-03,13786.07
56,2020-11-03,13698.66
57,2020-11-03,13522.63
58,2020-11-03,13739.32
59,2020-11-03,13555.47
60,2020-11-03,13522.13
61,2020-11-03,13442.83
62,2020-11-03,13427.17
63,2020-11-03,13370.66
64,2020-11-03,13424.29
65,2020-11-03,13403.44
66,2020-11-03,13437.43
67,2020-11-03,13607.12
68,2020-11-03,13539.66
69,2020-11-03,13571.24
70,2020-11-03,13584.36
71,2020-11-03,13566.7
72,2020-11-04,13847.59
73,2020-11-04,13847.92
74,2020-11-04,13917.65
75,2020-11-04,13826.88
76,2020-11-04,13998.56
77,2020-11-04,14092.35
78,2020-11-04,14098.19
79,2020-11-04,14117.42
80,2020-11-04,14043.74
81,2020-11-04,14042.52
82,2020-11-04,13730.54
83,2020-11-04,13906.9
84,2020-11-04,13664.03
85,2020-11-04,13833.74
86,2020-11-04,14023.78
87,2020-11-04,13868.19
88,2020-11-04,13830.9
